# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 269:         5.520       52.458      -3.70  LELYSTAD
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 280:         6.585       53.125       5.20  EELDE
# 283:         6.657       52.069      29.10  HUPSEL
# 290:         6.891       52.274      34.80  TWENTHE
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 319:         3.861       51.226       1.70  WESTDORPE
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 370:         5.377       51.451      22.60  EINDHOVEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TX
# 
  240,20171016,  234
  240,20171017,  156
  240,20171018,  178
  240,20171019,  203
  240,20171020,  167
  240,20171021,  173
  240,20171022,  136
  240,20171023,  152
  240,20171024,  169
  240,20171025,  173
  240,20171026,  168
  240,20171027,  145
  240,20171028,  154
  240,20171030,  121
  240,20171031,  130
  240,20171101,  139
  240,20171102,  149
  240,20171103,  136
  240,20171104,  133
  240,20171105,  107
  240,20171106,  105
  240,20171107,   94
  240,20171108,   79
  240,20171109,  120
  240,20171110,  121
  240,20171111,  109
  240,20171112,   77
  240,20171113,  107
  240,20171114,  106
  240,20171115,  110
  240,20171116,  115
  240,20171117,  111
  240,20171118,   98
  240,20171119,  100
  240,20171120,  120
  240,20171121,  127
  240,20171122,  129
  240,20171123,  146
  240,20171124,   96
  240,20171125,   81
  240,20171126,   81
  240,20171127,  103
  240,20171128,   85
  240,20171129,   52
  240,20171130,   46
  240,20171201,   46
  260,20161201,   94
  260,20161202,   94
  260,20161203,   81
  260,20161204,   40
  260,20161205,   41
  260,20161206,   54
  260,20161207,   95
  260,20161208,   96
  260,20161209,  104
  260,20161210,   92
  260,20161211,   96
  260,20161212,   76
  260,20161213,   75
  260,20161214,   91
  260,20161215,   79
  260,20161216,   75
  260,20161217,   85
  260,20161218,   91
  260,20161219,   75
  260,20161220,   10
  260,20161221,   71
  260,20161222,   69
  260,20161223,   80
  260,20161224,   97
  260,20161225,  117
  260,20161226,  118
  260,20161227,   93
  260,20161228,   43
  260,20161229,   -8
  260,20161230,   15
  260,20161231,   33
  260,20170101,   19
  260,20170102,   68
  260,20170103,   71
  260,20170104,   73
  260,20170105,   33
  260,20170106,   -3
  260,20170107,   34
  260,20170108,   61
  260,20170109,   59
  260,20170110,   66
  260,20170111,  104
  260,20170112,   74
  260,20170113,   56
  260,20170114,   48
  260,20170115,   48
  260,20170116,   12
  260,20170117,   13
  260,20170118,  -19
  260,20170119,   35
  260,20170120,   51
  260,20170121,   50
  260,20170122,   37
  260,20170123,   31
  260,20170124,   21
  260,20170125,    6
  260,20170126,    6
  260,20170127,   51
  260,20170128,   81
  260,20170129,   65
  260,20170130,   72
  260,20170131,   61
  260,20170201,   54
  260,20170202,  125
  260,20170203,  119
  260,20170204,   74
  260,20170205,   77
  260,20170206,   66
  260,20170207,   39
  260,20170208,    9
  260,20170209,  -10
  260,20170210,  -13
  260,20170211,   10
  260,20170212,   25
  260,20170213,   71
  260,20170214,   94
  260,20170215,  135
  260,20170216,   99
  260,20170217,   86
  260,20170218,  103
  260,20170219,   92
  260,20170220,  109
  260,20170221,  111
  260,20170222,  108
  260,20170223,  105
