# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FHX      = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# T10N     = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,  FHX,   TX, T10N
# 
  240,20010515,   70,  171,  102
  240,20010516,  100,  175,   99
  240,20010517,  140,  151,   77
  240,20010518,  100,  138,   88
  240,20010519,   60,  150,   43
  240,20010520,   50,  168,   16
  240,20010521,   70,  166,   22
  240,20010522,   70,  188,   52
  240,20010523,   60,  218,   57
  240,20010524,   70,  204,   75
  240,20010525,   50,  207,   47
  240,20010526,   50,  213,   53
  240,20010527,   70,  168,  107
  240,20010528,  100,  197,  148
  240,20010529,   90,  198,   94
  240,20010530,   40,  229,   44
  240,20010531,   90,  155,   63
  240,20010601,   80,  168,   76
  240,20010602,  100,  138,   73
  240,20010603,  110,  124,   66
  240,20010604,   70,  157,   77
  240,20010605,   60,  204,  108
  240,20010606,   90,  200,  110
  240,20010607,  110,  157,   98
  240,20010608,   70,  157,   26
  240,20010609,   30,  167,   -2
  240,20010610,   60,  176,   66
  240,20010611,   70,  158,   47
  240,20010612,   50,  179,   43
  240,20010613,   40,  187,   25
  240,20010614,   60,  208,   40
  240,20010615,   70,  217,  132
  240,20010616,   60,  205,  117
  240,20010617,   70,  197,  128
  240,20010618,   70,  145,  105
  240,20010619,   40,  194,   21
  240,20010620,   80,  225,   64
  240,20010621,   70,  175,  105
  240,20010622,   90,  161,  119
  240,20010623,   30,  202,   67
  240,20010624,   40,  232,   65
  240,20010625,   50,  233,   89
  240,20010626,   60,  272,  119
  240,20010627,   90,  214,  156
  240,20010628,   90,  224,  133
  240,20010629,   70,  248,  151
  240,20010630,   90,  221,  152
  240,20010701,   70,  208,  135
  240,20010702,   30,  227,   93
  240,20010703,   70,  252,   86
  240,20010704,   80,  282,  134
  240,20010705,   60,  308,  157
  240,20010706,   50,  282,  182
  240,20010707,   60,  235,  177
  240,20010708,   60,  207,  169
  240,20010709,   70,  206,  150
  240,20010710,  100,  237,  143
  240,20010711,  150,  187,  136
  240,20010712,  100,  203,  125
  240,20010713,   90,  202,  116
  240,20010714,   50,  175,  107
  240,20010715,   50,  194,   69
  240,20010716,   40,  197,   41
  240,20010717,   70,  224,   45
  240,20010718,   80,  195,  142
  240,20010719,   70,  199,  131
  240,20010720,   80,  176,   93
  240,20010721,   80,  185,  112
  240,20010722,   70,  228,  123
  240,20010723,   30,  231,  106
  240,20010724,   50,  245,  113
  240,20010725,   30,  250,   95
  240,20010726,   40,  272,  123
  240,20010727,   40,  283,  146
  240,20010728,   50,  255,  126
  240,20010729,   60,  267,  108
  240,20010730,   50,  256,  144
  240,20010731,   80,  237,  136
  240,20010801,   40,  226,   92
  240,20010802,   50,  270,   94
  240,20010803,   80,  220,  151
  240,20010804,   90,  208,  143
  240,20010805,   80,  200,  127
  240,20010806,   80,  218,  130
  240,20010807,   70,  214,  149
  240,20010808,  120,  196,  134
  240,20010809,   40,  196,  103
  240,20010810,   80,  191,  108
  240,20010811,   90,  202,  101
  240,20010812,  100,  183,  149
  240,20010813,   80,  198,  173
  240,20010814,   50,  274,  149
  240,20010815,   60,  318,  143
  240,20010816,  110,  219,  132
  240,20010817,   50,  219,  129
  240,20010818,   60,  247,  142
  240,20010819,   90,  230,  165
  240,20010820,   70,  224,  106
  240,20010821,   40,  249,   88
  240,20010822,   50,  266,  154
  240,20010823,   40,  276,  175
  240,20010824,   50,  286,  159
  240,20010825,   40,  310,  149
  240,20010826,   70,  261,  184
  240,20010827,   60,  200,   81
  240,20010828,   50,  197,   67
  240,20010829,   50,  206,   64
  240,20010830,   50,  205,  105
  240,20010831,   40,  199,  117
  240,20010901,   70,  185,  108
  240,20010902,   70,  188,  123
  240,20010903,   60,  181,  128
  240,20010904,  110,  170,  110
  240,20010905,   70,  172,  125
  240,20010906,   60,  195,  128
  240,20010907,  140,  177,  130
  240,20010908,  140,  175,   87
  240,20010909,  110,  166,   94
  240,20010910,  110,  162,  111
  240,20010911,   90,  168,  113
  240,20010912,   70,  181,  134
  240,20010913,   90,  163,   93
  240,20010914,   70,  177,   55
  240,20010915,   90,  161,   87
  240,20010916,   60,  146,   62
  240,20010917,   60,  159,   62
  240,20010918,   50,  134,   62
  240,20010919,   90,  123,  104
  240,20010920,   60,  155,  108
  240,20010921,   80,  166,   88
  240,20010922,   80,  164,   84
  240,20010923,   70,  164,   92
  240,20010924,   60,  161,  109
  240,20010925,   40,  165,   64
  240,20010926,   40,  172,   61
  240,20010927,   80,  182,  122
  240,20010928,   50,  209,  122
  240,20010929,   50,  186,  111
  240,20010930,   90,  188,  133
  240,20011001,  120,  184,  158
  240,20011002,  130,  200,  142
  240,20011003,  100,  178,  126
  240,20011004,  100,  175,  109
  240,20011005,   60,  186,  104
  240,20011006,   80,  193,  113
  240,20011007,  110,  179,  126
  240,20011008,  120,  172,  124
  240,20011009,  110,  168,  122
  240,20011010,  120,  165,  101
  240,20011011,   90,  169,  116
  240,20011012,   40,  195,  101
  240,20011013,   50,  226,  114
  240,20011014,   70,  192,  124
